beran_id,block,shadow
1,ZERO,ZERO
2,ZERO,AND
3,ZERO,LDIFF
4,ZERO,RDIFF
5,ZERO,NOR
6,ZERO,X
7,ZERO,Y
8,ZERO,EQ
9,ZERO,XOR
10,ZERO,NOT_Y
11,ZERO,NOT_X
12,ZERO,OR
13,ZERO,RIMP
14,ZERO,IMP
15,ZERO,NAND
16,ZERO,ONE
17,X,ZERO
18,X,AND
19,X,LDIFF
20,X,RDIFF
21,X,NOR
22,X,X
23,X,Y
24,X,EQ
25,X,XOR
26,X,NOT_Y
27,X,NOT_X
28,X,OR
29,X,RIMP
30,X,IMP
31,X,NAND
32,X,ONE
33,Y,ZERO
34,Y,AND
35,Y,LDIFF
36,Y,RDIFF
37,Y,NOR
38,Y,X
39,Y,Y
40,Y,EQ
41,Y,XOR
42,Y,NOT_Y
43,Y,NOT_X
44,Y,OR
45,Y,RIMP
46,Y,IMP
47,Y,NAND
48,Y,ONE
49,NOT_Y,ZERO
50,NOT_Y,AND
51,NOT_Y,LDIFF
52,NOT_Y,RDIFF
53,NOT_Y,NOR
54,NOT_Y,X
55,NOT_Y,Y
56,NOT_Y,EQ
57,NOT_Y,XOR
58,NOT_Y,NOT_Y
59,NOT_Y,NOT_X
60,NOT_Y,OR
61,NOT_Y,RIMP
62,NOT_Y,IMP
63,NOT_Y,NAND
64,NOT_Y,ONE
65,NOT_X,ZERO
66,NOT_X,AND
67,NOT_X,LDIFF
68,NOT_X,RDIFF
69,NOT_X,NOR
70,NOT_X,X
71,NOT_X,Y
72,NOT_X,EQ
73,NOT_X,XOR
74,NOT_X,NOT_Y
75,NOT_X,NOT_X
76,NOT_X,OR
77,NOT_X,RIMP
78,NOT_X,IMP
79,NOT_X,NAND
80,NOT_X,ONE
81,ONE,ZERO
82,ONE,AND
83,ONE,LDIFF
84,ONE,RDIFF
85,ONE,NOR
86,ONE,X
87,ONE,Y
88,ONE,EQ
89,ONE,XOR
90,ONE,NOT_Y
91,ONE,NOT_X
92,ONE,OR
93,ONE,RIMP
94,ONE,IMP
95,ONE,NAND
96,ONE,ONE
